nivel,tasa_acept,contr_ventas
1,21.91,0.009003
2,38.65,0.019963
2,45.0,0.003523
2,45.6,0.011156
1,29.85,0.007828
1,31.34,0.00822
2,50.01,0.031705
3,27.61,0.01507
1,55.18,0.020941
1,55.95,0.221644
3,48.1,0.128191
3,38.77,0.013504
1,36.67,0.021528
2,56.2,0.008024
1,34.04,0.006263
1,57.57,0.026813
1,43.68,0.007437
3,47.91,0.01781
3,43.86,0.011156
2,50.0,0.012526
3,21.43,0.003523
2,51.19,0.008416
3,39.1,0.028378
1,44.34,0.022898
2,48.01,0.061062
1,38.46,0.005871
2,48.61,0.0274
1,41.82,0.004501
2,38.89,0.00822
3,41.48,0.025638
1,49.64,0.076915
2,52.78,0.003719
2,52.38,0.010764
1,32.59,0.011156
1,25.51,0.022507
3,36.97,0.006654
1,43.7,0.031901
2,47.93,0.011351
3,47.35,0.026225
1,53.85,0.00548
1,58.87,0.43489
1,50.75,0.177822
1,55.56,0.024455
1,49.23,0.043448
1,59.26,0.127755
1,44.29,0.006067
2,46.88,0.005871
3,40.02,0.025834
1,37.5,0.007633
2,38.33,0.004501
3,57.1,0.02603
3,51.39,0.014483
1,54.61,0.016244
1,53.99,0.121688
1,42.5,0.06769
1,55.6,0.23634
1,42.45,0.014287
2,52.38,0.006458
2,36.36,0.015657
2,47.14,0.006458
1,37.97,0.005871
3,44.6,0.011342
1,18.49,0.022898
2,27.13,0.00685
3,36.84,0.00274
1,36.22,0.013113
1,34.59,0.039925
2,47.67,0.051668
3,44.1,0.028556
3,40.96,0.033654
2,27.91,0.007046
2,33.53,0.012134
1,35.31,0.036207
1,32.16,0.038751
3,35.35,0.053598
1,38.38,0.03425
2,50.99,0.01507
2,41.44,0.023681
3,41.48,0.046579
3,33.26,0.052647
1,31.01,0.007828
1,50.43,0.057121
1,35.04,0.102544
1,33.79,0.108006
3,36.17,0.042452
3,38.72,0.078258
3,32.26,0.06027
1,43.43,0.200329
1,42.65,0.245183
1,39.95,0.050876
2,42.29,0.044427
2,41.52,0.02055
1,43.61,0.063989
1,31.04,0.02192
1,32.56,0.010764
1,27.27,0.024064
2,38.65,0.043252
2,39.95,0.021333
2,46.59,0.04166
2,47.41,0.114456
2,39.28,0.072004
1,29.77,0.021724
2,53.86,0.01918
3,41.51,0.045966
1,47.49,0.036972
3,38.49,0.015061
3,47.45,0.039916
2,27.52,0.016636
1,29.78,0.012526
1,42.96,0.023281
2,41.59,0.037185
1,35.3,0.055386
1,44.47,0.036189
1,45.48,0.016636
1,54.4,0.02055
2,29.31,0.003327
3,37.06,0.035815
1,35.62,0.005089
1,46.51,0.007828
1,30.68,0.009786
2,25.95,0.020158
3,13.45,0.01781
1,41.4,0.196833
1,31.34,0.061062
2,40.0,0.004306
2,19.32,0.003327
2,26.67,0.003131
2,39.7,0.130095
2,25.29,0.012917
1,51.64,0.027791
1,35.92,0.07985
1,39.84,0.009981
1,32.03,0.008024
2,31.03,0.001761
2,50.5,0.047727
2,37.14,0.005089
2,42.34,0.013504
2,32.83,0.012526
2,45.58,0.036385
1,36.84,0.00685
1,49.85,0.053038
1,46.0,0.004501
3,35.85,0.017605
2,38.8,0.103309
2,36.46,0.00685
3,26.21,0.00959
1,37.22,0.026217
3,55.75,0.007633
3,17.95,0.00411
2,50.0,0.00822
1,37.61,0.008611
1,31.2,0.014287
3,41.67,0.068472
3,36.14,0.041286
1,36.8,0.028369
3,36.77,0.152984
1,34.45,0.026217
2,42.75,0.01781
2,51.52,0.026412
2,43.65,0.026813
1,31.63,0.024073
1,35.89,0.0448
1,37.65,0.038742
2,52.25,0.025247
3,36.1,0.138511
2,43.44,0.019375
2,51.04,0.024464
2,39.31,0.024455
3,29.46,0.083569
3,23.28,0.012526
3,28.32,0.036794
1,24.37,0.016636
1,22.9,0.018005
1,36.5,0.02192
1,32.12,0.022115
1,38.12,0.023485
3,29.61,0.016048
3,30.2,0.018788
3,21.75,0.005871
3,38.07,0.018397
3,22.0,0.00822
1,33.35,0.019571
2,38.76,0.022898
2,37.61,0.020745
2,31.4,0.019963
2,37.42,0.020941
1,41.37,0.023877
1,41.96,0.022898
1,37.26,0.024268
1,48.59,0.02329
2,41.46,0.023681
2,36.57,0.020745
2,37.65,0.02055
2,32.01,0.062041
2,38.64,0.020941
2,32.21,0.018397
2,43.56,0.023094
2,35.77,0.021137
2,36.26,0.021137
2,33.35,0.02329
3,52.74,0.050867
3,37.93,0.091558
1,43.06,0.006067
1,29.74,0.048928
1,41.3,0.007437
1,40.65,0.034445
1,47.91,0.031118
2,37.59,0.010373
2,24.39,0.009786
2,33.63,0.007437
1,34.5,0.021333
1,25.47,0.01096
1,22.16,0.022898
1,32.54,0.010764
2,40.89,0.021528
3,44.33,0.032088
2,38.11,0.01096
2,49.11,0.010764
2,38.73,0.025834
1,34.5,0.023485
1,31.59,0.00822
1,28.18,0.019571
1,26.76,0.011156
1,55.1,0.005284
2,40.7,0.00685
1,48.87,0.021137
2,57.63,0.019963
2,53.23,0.019375
2,40.0,0.01096
3,47.39,0.008807
2,36.73,0.003523
1,43.97,0.342389
2,44.68,0.013113
2,37.29,0.008024
3,54.88,0.038333
2,41.09,0.010373
2,35.42,0.006654
2,40.26,0.026225
2,34.19,0.013308
1,29.45,0.016244
1,50.89,0.017223
3,40.03,0.040486
3,22.84,0.018593
2,34.48,0.007828
2,37.35,0.064585
2,,0.0
3,23.12,0.008416
1,41.32,0.009786
2,35.77,0.020158
2,33.35,0.023681
3,37.01,0.005284
2,37.6,0.021333
1,55.9,0.039916
1,50.0,0.070038
1,49.72,0.086273
1,34.73,0.048519
1,43.96,0.007828
1,40.39,0.01644
1,34.34,0.029161
1,60.46,0.059861
3,38.38,0.026208
1,44.58,0.007241
2,60.0,0.008807
2,27.29,0.005284
1,35.66,0.043048
1,44.64,0.025247
1,48.74,0.018593
3,34.47,0.029535
1,28.71,0.017418
2,30.45,0.02466
2,45.15,0.015461
1,29.36,0.032292
1,39.58,0.297091
3,41.12,0.033058
2,36.84,0.00685
3,40.68,0.025229
3,32.14,0.003523
1,39.49,0.041491
2,54.32,0.264932
1,35.56,0.025042
1,34.92,0.040103
3,46.81,0.004306
1,24.73,0.008611
1,36.96,0.009981
1,62.12,0.008024
1,21.92,0.007633
1,50.0,0.011156
1,55.0,0.01507
3,20.95,0.007828
1,52.34,0.03288
1,21.95,0.025638
1,41.75,0.047949
1,20.0,0.012526
2,52.34,0.043831
1,40.26,0.075136
1,43.53,0.011156
3,34.74,0.006458
3,46.72,0.023672
1,45.45,0.043039
2,41.66,0.02877
2,45.66,0.042256
2,46.67,0.036981
1,22.87,0.009394
1,44.36,0.044605
3,31.6,0.063998
1,39.22,0.027008
1,36.26,0.006458
3,48.02,0.009394
2,44.19,0.080998
1,32.7,0.016636
2,45.83,0.006458
3,36.7,0.02836
2,35.17,0.03151
1,26.42,0.0137
2,36.52,0.053225
3,38.02,0.035032
2,28.58,0.031705
1,29.49,0.045405
1,32.45,0.011938
2,49.36,0.045014
2,34.07,0.006067
1,30.55,0.018593
2,38.17,0.032488
2,37.72,0.026421
1,29.09,0.006263
2,32.79,0.023681
1,28.94,0.031705
2,44.45,0.09686
1,7.89,0.000587
1,37.86,0.010373
2,43.58,0.050476
2,54.0,0.010568
2,43.4,0.009003
1,43.98,0.03425
2,52.41,0.06398
2,38.7,0.012721
2,51.69,0.01507
2,53.94,0.041882
2,53.68,0.050298
1,47.56,1.469209
2,28.69,0.038164
3,43.2,0.052228
2,46.93,0.01644
2,37.93,0.01507
